Player,Squad,Age,Pos,Nation,Season_End_Year,Comp,Born,Mins_Per_90_Playing,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG._per__minus__Expected,X_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att..GK._Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,X.OPA_Sweeper,X.OPA_per_90_Sweeper,AvgDist_Sweeper,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Weekly_Wages_Pounds,Annual_Wages_Pounds,Career_Injuries_Duration,Career_Games_Missed
Julen Agirrezabala,Athletic Club,22.0,GK,ESP,2024,La Liga,2000.0,2.6,4.0,0.0,0.0,0.0,0.0,2.4,0.2,-1.6,-0.61,18.0,49.0,36.7,78.0,20.0,35.9,32.4,22.0,95.5,64.5,41.0,2.0,4.9,3.0,1.13,15.3,4.0,1.51,12.0,8.0,66.7,1.0,0.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,,6951.0,361451.0,139.0,19.0
Unai Simón,Athletic Club,26.0,GK,ESP,2024,La Liga,1997.0,35.4,33.0,1.0,0.0,2.0,4.0,38.0,0.28,9.0,0.26,220.0,679.0,32.4,982.0,144.0,48.5,38.7,240.0,84.6,60.9,450.0,31.0,6.9,46.0,1.3,16.3,33.0,0.93,122.0,90.0,73.8,18.0,11.0,7.0,16.0,44.4,5.0,1.0,3.0,1.0,75.0,70834.0,3683353.0,99.0,13.0
Jan Oblak,Atlético Madrid,30.0,GK,SVN,2024,La Liga,1993.0,38.0,43.0,1.0,0.0,3.0,0.0,39.8,0.28,-3.2,-0.08,114.0,336.0,33.9,740.0,180.0,27.6,31.5,283.0,46.6,38.7,579.0,36.0,6.2,22.0,0.58,11.8,43.0,1.13,144.0,101.0,70.8,24.0,4.0,10.0,13.0,34.2,2.0,1.0,0.0,1.0,0.0,344735.0,17926224.0,179.0,30.0
Finn Dahmen,Augsburg,25.0,GK,GER,2024,Bundesliga,1998.0,31.0,52.0,7.0,0.0,10.0,2.0,49.3,0.26,-0.7,-0.02,169.0,450.0,37.6,1151.0,92.0,30.8,32.4,187.0,51.3,44.3,484.0,28.0,5.8,50.0,1.61,15.0,52.0,1.68,158.0,106.0,71.5,10.0,9.0,12.0,3.0,9.7,10.0,7.0,2.0,1.0,22.2,13902.0,722901.0,,
Tomáš Koubek,Augsburg,30.0,GK,CZE,2024,Bundesliga,1992.0,3.0,8.0,0.0,0.0,2.0,0.0,6.7,0.29,-1.3,-0.43,16.0,40.0,40.0,74.0,6.0,36.5,34.5,24.0,54.2,46.5,36.0,2.0,5.6,2.0,0.67,11.6,8.0,2.67,25.0,17.0,68.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,16550.0,860596.0,,
Iñaki Peña,Barcelona,24.0,GK,ESP,2024,La Liga,1999.0,10.0,17.0,0.0,0.0,0.0,0.0,13.9,0.36,-3.1,-0.31,21.0,49.0,42.9,249.0,46.0,13.3,23.7,48.0,33.3,35.5,116.0,2.0,1.7,5.0,0.5,10.6,17.0,1.7,39.0,22.0,56.4,6.0,2.0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,,53787.0,2796938.0,,
Marc-André ter Stegen,Barcelona,31.0,GK,GER,2024,La Liga,1992.0,28.0,27.0,2.0,0.0,1.0,0.0,27.7,0.25,0.7,0.03,92.0,167.0,55.1,871.0,115.0,14.4,26.3,163.0,25.8,30.9,334.0,13.0,3.9,31.0,1.11,15.6,27.0,0.96,102.0,75.0,75.5,20.0,5.0,3.0,15.0,53.6,2.0,2.0,0.0,0.0,0.0,104265.0,5421758.0,466.0,97.0
Manuel Neuer,Bayern Munich,37.0,GK,GER,2024,Bundesliga,1986.0,22.8,33.0,2.0,1.0,1.0,0.0,29.1,0.29,-3.9,-0.17,73.0,159.0,45.9,779.0,110.0,18.6,27.7,97.0,14.4,26.0,231.0,9.0,3.9,32.0,1.4,17.5,33.0,1.45,93.0,59.0,66.7,16.0,1.0,6.0,6.0,26.1,3.0,2.0,1.0,0.0,33.3,347549.0,18072525.0,1175.0,236.0
Daniel Peretz,Bayern Munich,23.0,GK,ISR,2024,Bundesliga,2000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,15.0,3.0,26.7,33.1,2.0,0.0,16.5,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,24825.0,1290895.0,14.0,2.0
Sven Ulreich,Bayern Munich,34.0,GK,GER,2024,Bundesliga,1988.0,11.0,12.0,1.0,1.0,2.0,0.0,11.8,0.35,-0.2,-0.01,26.0,79.0,32.9,348.0,57.0,20.4,26.2,47.0,17.0,26.4,108.0,5.0,4.6,16.0,1.45,19.9,12.0,1.09,31.0,19.0,64.5,7.0,2.0,2.0,4.0,36.4,1.0,1.0,0.0,0.0,0.0,33100.0,1721193.0,244.0,52.0
