Player,Squad,Age,Pos,Nation,Season_End_Year,Comp,Born,Mins_Per_90_Playing,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG._per__minus__Expected,X_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att..GK._Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,X.OPA_Sweeper,X.OPA_per_90_Sweeper,AvgDist_Sweeper,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Weekly_Wages_Pounds,Annual_Wages_Pounds,Career_Injuries_Duration,Career_Games_Missed
Marcel Schuhen,Darmstadt 98,30.0,GK,GER,2024,Bundesliga,1993.0,31.0,76.0,1.0,2.0,7.0,2.0,68.0,0.34,-6.0,-0.19,245.0,618.0,39.6,1204.0,182.0,36.3,34.8,289.0,62.6,48.5,453.0,24.0,5.3,51.0,1.65,16.5,76.0,2.45,198.0,123.0,62.1,3.0,7.0,21.0,3.0,9.7,2.0,1.0,1.0,0.0,50.0,12412.0,645447.0,188.0,22.0
Gregor Kobel,Dortmund,25.0,GK,SUI,2024,Bundesliga,1997.0,26.3,34.0,5.0,0.0,9.0,1.0,36.8,0.28,3.8,0.14,106.0,268.0,39.6,1006.0,106.0,19.6,28.1,165.0,43.0,38.5,359.0,7.0,1.9,17.0,0.65,12.5,34.0,1.29,118.0,84.0,75.4,14.0,8.0,5.0,7.0,25.9,6.0,5.0,1.0,0.0,16.7,148949.0,7745368.0,142.0,31.0
Alexander Meyer,Dortmund,32.0,GK,GER,2024,Bundesliga,1991.0,7.7,9.0,0.0,0.0,0.0,1.0,7.8,0.3,-0.2,-0.03,27.0,81.0,33.3,334.0,29.0,20.1,28.3,31.0,45.2,42.1,107.0,8.0,7.5,7.0,0.91,14.5,9.0,1.17,27.0,19.0,66.7,4.0,1.0,2.0,3.0,42.9,0.0,0.0,0.0,0.0,,9433.0,490540.0,841.0,97.0
Jens Grahl,Eint Frankfurt,34.0,GK,GER,2024,Bundesliga,1988.0,2.0,2.0,0.0,0.0,0.0,0.0,1.4,0.15,-0.6,-0.31,4.0,29.0,13.8,77.0,15.0,31.2,34.4,15.0,33.3,37.9,33.0,4.0,12.1,4.0,2.0,15.7,2.0,1.0,9.0,7.0,77.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5792.0,301209.0,443.0,45.0
Kevin Trapp,Eint Frankfurt,33.0,GK,GER,2024,Bundesliga,1990.0,32.0,48.0,9.0,0.0,4.0,0.0,48.3,0.28,0.3,0.01,102.0,361.0,28.3,949.0,137.0,28.9,29.8,212.0,41.0,36.2,452.0,16.0,3.5,30.0,0.94,15.2,48.0,1.5,137.0,87.0,71.5,10.0,13.0,9.0,7.0,21.9,11.0,9.0,2.0,0.0,18.2,57925.0,3012088.0,533.0,97.0
Etrit Berisha,Empoli,34.0,GK,ALB,2024,Serie A,1989.0,14.0,25.0,2.0,0.0,5.0,1.0,20.7,0.24,-3.3,-0.24,44.0,184.0,23.9,400.0,75.0,34.8,33.0,90.0,50.0,40.8,236.0,11.0,4.7,10.0,0.71,12.4,25.0,1.79,74.0,49.0,68.9,3.0,3.0,8.0,4.0,28.6,3.0,2.0,1.0,0.0,33.3,12247.0,636841.0,209.0,33.0
Elia Caprile,Empoli,21.0,GK,ITA,2024,Serie A,2001.0,23.0,27.0,4.0,0.0,5.0,0.0,27.6,0.22,0.6,0.02,117.0,350.0,33.4,657.0,137.0,40.3,36.8,159.0,53.5,45.1,391.0,31.0,7.9,20.0,0.87,13.3,27.0,1.17,106.0,78.0,78.3,6.0,6.0,11.0,5.0,21.7,5.0,4.0,1.0,0.0,20.0,10592.0,550782.0,,
Samuele Perisan,Empoli,25.0,GK,ITA,2024,Serie A,1997.0,1.0,2.0,0.0,0.0,0.0,0.0,0.7,0.14,-1.3,-1.32,1.0,8.0,12.5,22.0,8.0,27.3,26.3,12.0,16.7,29.6,18.0,0.0,0.0,1.0,1.0,21.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5461.0,283997.0,,
Jordan Pickford,Everton,29.0,GK,ENG,2024,Premier League,1994.0,38.0,51.0,8.0,0.0,9.0,3.0,52.4,0.28,4.4,0.12,360.0,901.0,40.0,1297.0,141.0,56.7,41.6,273.0,60.8,48.3,570.0,30.0,5.3,54.0,1.42,15.9,51.0,1.34,165.0,117.0,73.9,13.0,9.0,16.0,13.0,34.2,8.0,8.0,0.0,0.0,0.0,125000.0,6500000.0,148.0,37.0
Oliver Christensen,Fiorentina,24.0,GK,DEN,2024,Serie A,1999.0,4.0,9.0,2.0,0.0,0.0,0.0,4.7,0.15,-4.3,-1.08,23.0,61.0,37.7,170.0,15.0,31.8,31.0,20.0,35.0,33.7,32.0,1.0,3.1,9.0,2.25,19.5,9.0,2.25,19.0,10.0,63.2,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10592.0,550782.0,71.0,13.0
Tommaso Martinelli,Fiorentina,17.0,GK,ITA,2024,Serie A,2006.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7613.0,395874.0,,
Pietro Terracciano,Fiorentina,33.0,GK,ITA,2024,Serie A,1990.0,33.0,35.0,6.0,3.0,5.0,0.0,40.2,0.27,5.2,0.16,164.0,382.0,42.9,1051.0,120.0,29.0,32.1,176.0,43.8,38.2,307.0,7.0,2.3,23.0,0.7,14.6,35.0,1.06,126.0,90.0,77.0,15.0,8.0,10.0,8.0,24.2,7.0,6.0,1.0,0.0,14.3,24494.0,1273683.0,264.0,48.0
Noah Atubolu,Freiburg,21.0,GK,GER,2024,Bundesliga,2002.0,34.0,58.0,3.0,1.0,5.0,1.0,50.0,0.3,-7.0,-0.21,193.0,568.0,34.0,1148.0,160.0,35.4,34.2,241.0,67.2,50.7,485.0,31.0,6.4,30.0,0.88,13.6,58.0,1.71,158.0,99.0,65.2,11.0,9.0,14.0,10.0,29.4,5.0,3.0,2.0,0.0,40.0,1986.0,103272.0,17.0,5.0
Michele Cerofolini,Frosinone,24.0,GK,ITA,2024,Serie A,1999.0,7.5,11.0,0.0,0.0,1.0,1.0,5.9,0.22,-4.1,-0.55,18.0,100.0,18.0,171.0,28.0,47.4,37.2,38.0,50.0,42.8,126.0,4.0,3.2,7.0,0.93,14.3,11.0,1.47,28.0,18.0,60.7,2.0,2.0,3.0,3.0,42.9,1.0,0.0,0.0,1.0,,9764.0,507752.0,471.0,76.0
Stefano Turati,Frosinone,21.0,GK,ITA,2024,Serie A,2001.0,30.5,58.0,5.0,0.0,10.0,1.0,47.5,0.28,-9.5,-0.31,72.0,316.0,22.8,919.0,147.0,27.3,29.2,144.0,45.1,38.8,412.0,18.0,4.4,19.0,0.62,13.7,58.0,1.9,152.0,94.0,65.1,6.0,9.0,16.0,4.0,12.9,7.0,5.0,1.0,1.0,16.7,14067.0,731507.0,13.0,3.0
Bernd Leno,Fulham,31.0,GK,GER,2024,Premier League,1992.0,38.0,61.0,8.0,2.0,3.0,4.0,55.7,0.26,-1.3,-0.03,144.0,439.0,32.8,1372.0,167.0,23.7,28.5,201.0,56.7,44.7,472.0,19.0,4.0,40.0,1.05,14.2,61.0,1.61,190.0,133.0,72.1,13.0,8.0,17.0,10.0,26.3,8.0,8.0,0.0,0.0,0.0,130000.0,6760000.0,126.0,26.0
Nicola Leali,Genoa,30.0,GK,ITA,2024,Serie A,1993.0,2.0,2.0,0.0,0.0,0.0,0.0,2.8,0.31,0.8,0.4,18.0,48.0,37.5,62.0,3.0,69.4,44.7,10.0,50.0,40.6,27.0,2.0,7.4,1.0,0.51,15.2,2.0,1.02,9.0,7.0,77.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,7613.0,395874.0,105.0,16.0
Josep Martinez,Genoa,25.0,GK,ESP,2024,Serie A,1998.0,36.0,43.0,3.0,1.0,4.0,1.0,38.9,0.28,-3.1,-0.09,227.0,583.0,38.9,1253.0,107.0,37.4,35.9,171.0,66.7,49.4,580.0,45.0,7.8,40.0,1.11,12.2,43.0,1.19,130.0,87.0,69.2,11.0,13.0,12.0,8.0,22.2,4.0,3.0,1.0,0.0,25.0,10592.0,550782.0,120.0,3.0
Daniele Sommariva,Genoa,26.0,GK,ITA,2024,Serie A,1997.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,2.0,0.0,100.0,54.5,1.0,100.0,76.0,2.0,1.0,50.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,4303.0,223755.0,,
Daniel Fuzato,Getafe,26.0,GK,BRA,2024,La Liga,1997.0,0.1,2.0,0.0,0.0,1.0,0.0,1.3,0.63,-0.7,-9.63,2.0,7.0,28.6,6.0,1.0,50.0,39.2,4.0,100.0,71.8,5.0,1.0,20.0,0.0,0.0,10.7,2.0,25.71,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,9930.0,516358.0,9.0,2.0
David Soria,Getafe,30.0,GK,ESP,2024,La Liga,1993.0,37.9,52.0,5.0,0.0,6.0,0.0,53.9,0.29,1.9,0.05,339.0,908.0,37.3,979.0,123.0,66.2,45.8,310.0,83.9,57.3,458.0,17.0,3.7,62.0,1.63,17.3,52.0,1.37,171.0,118.0,72.5,10.0,13.0,15.0,10.0,26.3,7.0,5.0,1.0,1.0,16.7,24990.0,1299501.0,129.0,20.0
Paulo Gazzaniga,Girona,31.0,GK,ARG,2024,La Liga,1992.0,38.0,46.0,5.0,0.0,8.0,0.0,51.1,0.28,5.1,0.13,155.0,420.0,36.9,1140.0,178.0,25.6,30.0,246.0,52.0,44.8,534.0,41.0,7.7,33.0,0.87,13.2,46.0,1.21,168.0,121.0,75.6,25.0,6.0,7.0,12.0,31.6,7.0,5.0,1.0,1.0,16.7,14233.0,740113.0,38.0,4.0
Moritz Nicolas,Gladbach,25.0,GK,GER,2024,Bundesliga,1997.0,27.0,49.0,4.0,0.0,6.0,0.0,45.1,0.26,-3.9,-0.14,112.0,315.0,35.6,888.0,140.0,26.0,29.7,161.0,52.2,42.5,460.0,21.0,4.6,22.0,0.81,13.2,49.0,1.81,160.0,111.0,71.9,6.0,11.0,10.0,4.0,14.8,4.0,4.0,0.0,0.0,0.0,1986.0,103272.0,307.0,57.0
Jonas Omlin,Gladbach,29.0,GK,SUI,2024,Bundesliga,1994.0,7.0,18.0,2.0,0.0,1.0,0.0,13.3,0.24,-4.7,-0.67,32.0,90.0,35.6,242.0,37.0,30.2,32.3,34.0,50.0,41.8,78.0,7.0,9.0,12.0,1.71,15.3,18.0,2.57,47.0,29.0,66.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,49650.0,2581789.0,419.0,65.0
Augusto Batalla,Granada,27.0,GK,ARG,2024,La Liga,1996.0,17.0,28.0,0.0,0.0,6.0,0.0,22.6,0.27,-5.4,-0.32,127.0,354.0,35.9,566.0,78.0,45.8,39.4,122.0,77.9,55.9,275.0,23.0,8.4,18.0,1.06,14.2,28.0,1.65,86.0,58.0,67.4,3.0,4.0,10.0,3.0,17.6,0.0,0.0,0.0,0.0,,12909.0,671265.0,14.0,3.0
Raúl Fernández,Granada,35.0,GK,ESP,2024,La Liga,1988.0,3.1,11.0,0.0,0.0,1.0,1.0,7.8,0.46,-2.2,-0.71,14.0,47.0,29.8,88.0,10.0,37.5,35.7,17.0,82.4,62.1,36.0,4.0,11.1,11.0,3.54,17.3,11.0,3.54,17.0,7.0,35.3,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,,9764.0,507752.0,938.0,120.0
André Ferreira,Granada,27.0,GK,POR,2024,La Liga,1996.0,14.9,29.0,3.0,0.0,2.0,1.0,27.8,0.33,-0.2,-0.01,73.0,186.0,39.2,388.0,88.0,31.4,32.2,110.0,58.2,44.3,195.0,6.0,3.1,13.0,0.87,12.6,29.0,1.95,77.0,49.0,66.2,0.0,5.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1986.0,103272.0,131.0,21.0
Marc Martínez,Granada,33.0,GK,ESP,2024,La Liga,1990.0,3.0,11.0,2.0,0.0,3.0,0.0,12.1,0.46,1.1,0.37,17.0,39.0,43.6,74.0,9.0,33.8,33.3,24.0,58.3,46.3,30.0,0.0,0.0,10.0,3.33,23.0,11.0,3.67,23.0,12.0,60.9,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2317.0,120484.0,,
Kevin Müller,Heidenheim,32.0,GK,GER,2024,Bundesliga,1991.0,34.0,55.0,7.0,0.0,7.0,3.0,53.6,0.27,1.6,0.05,249.0,595.0,41.8,1164.0,167.0,35.2,35.9,316.0,58.5,46.1,495.0,24.0,4.8,17.0,0.5,13.2,55.0,1.62,174.0,121.0,72.4,10.0,12.0,12.0,6.0,17.6,10.0,7.0,1.0,2.0,12.5,18205.0,946656.0,53.0,10.0
Lorenzo Montipò,Hellas Verona,27.0,GK,ITA,2024,Serie A,1996.0,37.0,49.0,2.0,0.0,6.0,1.0,40.7,0.26,-7.3,-0.2,323.0,763.0,42.3,960.0,109.0,54.5,41.1,305.0,78.7,56.4,487.0,22.0,4.5,43.0,1.16,15.3,49.0,1.32,153.0,105.0,69.3,9.0,10.0,18.0,8.0,21.6,2.0,2.0,0.0,0.0,0.0,8275.0,430298.0,16.0,3.0
Simone Perilli,Hellas Verona,28.0,GK,ITA,2024,Serie A,1995.0,1.0,2.0,0.0,0.0,0.0,0.0,2.7,0.29,0.7,0.75,8.0,28.0,28.6,32.0,2.0,75.0,49.5,5.0,80.0,62.0,5.0,0.0,0.0,2.0,2.0,18.0,2.0,2.0,10.0,8.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7613.0,395874.0,26.0,8.0
Oliver Baumann,Hoffenheim,33.0,GK,GER,2024,Bundesliga,1990.0,34.0,66.0,2.0,3.0,9.0,1.0,68.6,0.31,3.6,0.11,208.0,529.0,39.3,1159.0,165.0,33.7,32.7,249.0,55.4,44.9,545.0,31.0,5.7,73.0,2.15,16.7,66.0,1.94,211.0,143.0,69.7,13.0,7.0,14.0,2.0,5.9,5.0,2.0,3.0,0.0,60.0,57925.0,3012088.0,121.0,21.0
Emil Audero,Inter,26.0,GK,ITA,2024,Serie A,1997.0,3.7,3.0,0.0,0.0,0.0,0.0,3.1,0.28,0.1,0.02,6.0,24.0,25.0,177.0,28.0,11.9,24.6,18.0,16.7,27.2,54.0,6.0,11.1,2.0,0.53,10.2,3.0,0.8,11.0,8.0,72.7,2.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,,24494.0,1273683.0,136.0,18.0
Raffaele Di Gennaro,Inter,29.0,GK,ITA,2024,Serie A,1993.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.13,0.5,2.08,1.0,2.0,50.0,15.0,3.0,13.3,25.2,1.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,4634.0,240967.0,504.0,61.0
Yann Sommer,Inter,34.0,GK,SUI,2024,Serie A,1988.0,34.0,19.0,2.0,0.0,3.0,0.0,25.5,0.23,6.5,0.19,104.0,226.0,46.0,1033.0,120.0,17.4,26.1,201.0,22.9,27.9,395.0,18.0,4.6,14.0,0.41,12.1,19.0,0.56,98.0,78.0,82.7,27.0,6.0,1.0,19.0,55.9,4.0,2.0,1.0,1.0,33.3,53125.0,2762515.0,84.0,22.0
Mattia Perin,Juventus,30.0,GK,ITA,2024,Serie A,1992.0,2.5,1.0,0.0,0.0,0.0,0.0,1.2,0.25,0.2,0.1,5.0,15.0,33.3,54.0,9.0,25.9,29.4,12.0,8.3,19.5,29.0,2.0,6.9,3.0,1.2,16.7,1.0,0.4,5.0,4.0,80.0,2.0,1.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,,46009.0,2392458.0,734.0,91.0
Carlo Pinsoglio,Juventus,33.0,GK,ITA,2024,Serie A,1990.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.18,0.5,1.06,2.0,5.0,40.0,21.0,1.0,23.8,31.4,0.0,,,17.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,9268.0,481934.0,16.0,4.0
Wojciech Szczęsny,Juventus,33.0,GK,POL,2024,Serie A,1990.0,35.0,30.0,2.0,0.0,4.0,2.0,28.3,0.24,0.3,0.01,147.0,340.0,43.2,828.0,134.0,32.0,32.8,174.0,43.1,40.2,555.0,26.0,4.7,20.0,0.57,11.6,30.0,0.86,108.0,79.0,74.1,17.0,13.0,5.0,15.0,42.9,3.0,2.0,1.0,0.0,33.3,199261.0,10361581.0,268.0,55.0
Marvin Schwäbe,Köln,28.0,GK,GER,2024,Bundesliga,1995.0,34.0,60.0,3.0,0.0,10.0,0.0,62.0,0.36,2.0,0.06,135.0,372.0,36.3,1148.0,101.0,28.4,31.4,149.0,30.9,34.3,504.0,14.0,2.8,21.0,0.62,13.4,60.0,1.76,168.0,108.0,66.1,5.0,12.0,17.0,4.0,11.8,3.0,3.0,0.0,0.0,0.0,19860.0,1032716.0,39.0,6.0
Aarón Escandell,Las Palmas,27.0,GK,ESP,2024,La Liga,1995.0,1.7,3.0,0.0,0.0,0.0,0.0,2.5,0.62,-0.5,-0.3,9.0,26.0,34.6,73.0,10.0,27.4,30.4,12.0,50.0,41.3,24.0,1.0,4.2,4.0,2.35,18.0,3.0,1.76,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,8275.0,430298.0,14.0,1.0
Álvaro Vallés,Las Palmas,26.0,GK,ESP,2024,La Liga,1997.0,36.3,44.0,5.0,0.0,5.0,3.0,48.7,0.28,7.7,0.21,137.0,447.0,30.6,1762.0,194.0,21.7,27.3,151.0,42.4,39.1,521.0,29.0,5.6,96.0,2.65,17.8,44.0,1.21,152.0,108.0,74.3,10.0,10.0,17.0,8.0,21.6,9.0,5.0,3.0,1.0,37.5,1986.0,103272.0,,
Christos Mandas,Lazio,21.0,GK,GRE,2024,Serie A,2001.0,8.0,6.0,0.0,0.0,2.0,0.0,7.0,0.25,1.0,0.12,38.0,114.0,33.3,240.0,29.0,42.5,37.7,29.0,41.4,37.9,99.0,6.0,6.1,5.0,0.62,13.1,6.0,0.75,29.0,23.0,79.3,6.0,1.0,1.0,4.0,50.0,0.0,0.0,0.0,0.0,,6289.0,327027.0,44.0,5.0
Ivan Provedel,Lazio,29.0,GK,ITA,2024,Serie A,1994.0,30.0,33.0,2.0,0.0,1.0,0.0,31.3,0.24,-1.7,-0.06,101.0,252.0,40.1,841.0,103.0,22.6,30.8,176.0,35.2,37.0,377.0,15.0,4.0,18.0,0.6,13.0,33.0,1.1,119.0,86.0,73.9,12.0,6.0,12.0,9.0,30.0,3.0,2.0,0.0,1.0,0.0,30617.0,1592103.0,154.0,30.0
Arthur Desmas,Le Havre,29.0,GK,FRA,2024,Ligue 1,1994.0,33.0,43.0,1.0,0.0,5.0,2.0,47.0,0.3,6.0,0.18,155.0,454.0,34.1,719.0,135.0,46.9,37.1,222.0,52.7,39.1,470.0,32.0,6.8,24.0,0.73,12.5,43.0,1.3,153.0,111.0,72.5,7.0,11.0,15.0,7.0,21.2,3.0,1.0,1.0,1.0,50.0,4965.0,258179.0,44.0,5.0
Mathieu Gorgelin,Le Havre,32.0,GK,FRA,2024,Ligue 1,1990.0,1.0,2.0,1.0,0.0,0.0,0.0,2.9,0.39,0.9,0.92,3.0,9.0,33.3,17.0,0.0,47.1,33.1,2.0,50.0,32.5,12.0,0.0,0.0,1.0,1.0,14.5,2.0,2.0,5.0,3.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5792.0,301209.0,,
Wladimiro Falcone,Lecce,28.0,GK,ITA,2024,Serie A,1995.0,38.0,54.0,5.0,1.0,7.0,1.0,53.2,0.28,0.2,0.01,152.0,489.0,31.1,893.0,159.0,42.6,34.9,248.0,44.0,35.2,522.0,20.0,3.8,20.0,0.53,11.0,54.0,1.42,173.0,119.0,71.7,8.0,14.0,16.0,7.0,18.4,6.0,5.0,1.0,0.0,16.7,18370.0,955262.0,7.0,1.0
Jean-Louis Leca,Lens,37.0,GK,FRA,2024,Ligue 1,1985.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.49,-1.0,-1.03,1.0,10.0,10.0,22.0,5.0,31.8,29.0,4.0,75.0,60.5,8.0,0.0,0.0,0.0,0.0,9.8,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11916.0,619629.0,194.0,26.0
Brice Samba,Lens,29.0,GK,FRA,2024,Ligue 1,1994.0,33.0,35.0,6.0,0.0,6.0,1.0,42.3,0.27,8.3,0.25,163.0,369.0,44.2,948.0,143.0,31.8,31.5,170.0,40.0,33.5,388.0,32.0,8.2,39.0,1.18,14.8,35.0,1.06,136.0,101.0,78.7,14.0,8.0,11.0,14.0,42.4,8.0,6.0,1.0,1.0,14.3,49650.0,2581789.0,,
Lukáš Hrádecký,Leverkusen,33.0,GK,FIN,2024,Bundesliga,1989.0,33.0,24.0,0.0,0.0,4.0,0.0,27.5,0.27,3.5,0.11,71.0,202.0,35.1,736.0,165.0,20.8,27.6,145.0,33.8,34.5,313.0,27.0,8.6,39.0,1.18,16.5,24.0,0.73,102.0,78.0,76.5,28.0,5.0,0.0,15.0,45.5,0.0,0.0,0.0,0.0,,43030.0,2237551.0,,
Matej Kovar,Leverkusen,23.0,GK,CZE,2024,Bundesliga,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.4,0.44,0.0,0.0,,17.0,6.0,0.0,22.1,0.0,,,3.0,1.0,33.3,1.0,1.0,15.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,12412.0,645447.0,,
Lucas Chevalier,Lille,21.0,GK,FRA,2024,Ligue 1,2001.0,33.0,32.0,3.0,0.0,2.0,2.0,35.7,0.26,5.7,0.17,101.0,344.0,29.4,1059.0,121.0,26.5,29.6,123.0,51.2,44.5,388.0,25.0,6.4,28.0,0.85,12.7,32.0,0.97,123.0,91.0,76.4,16.0,10.0,7.0,15.0,45.5,5.0,3.0,2.0,0.0,40.0,18867.0,981080.0,67.0,12.0
Vito Mannone,Lille,35.0,GK,ITA,2024,Ligue 1,1988.0,1.0,2.0,0.0,0.0,0.0,0.0,1.7,0.35,-0.3,-0.26,5.0,16.0,31.3,37.0,1.0,40.5,35.9,1.0,100.0,61.0,11.0,2.0,18.2,4.0,3.96,15.0,2.0,1.98,5.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4137.0,215149.0,128.0,18.0
Alisson,Liverpool,30.0,GK,BRA,2024,Premier League,1992.0,28.0,30.0,1.0,0.0,4.0,1.0,28.7,0.26,-0.3,-0.01,60.0,183.0,32.8,1021.0,140.0,14.1,24.7,116.0,33.6,33.3,299.0,13.0,4.3,33.0,1.18,17.7,30.0,1.07,109.0,80.0,73.4,16.0,8.0,4.0,8.0,28.6,1.0,1.0,0.0,0.0,0.0,150000.0,7800000.0,216.0,34.0
Caoimhín Kelleher,Liverpool,24.0,GK,IRL,2024,Premier League,1998.0,10.0,11.0,0.0,0.0,3.0,1.0,11.3,0.3,1.3,0.13,32.0,102.0,31.4,411.0,52.0,22.4,27.3,28.0,35.7,34.9,77.0,5.0,6.5,13.0,1.3,17.0,11.0,1.1,38.0,28.0,71.1,8.0,2.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,,10000.0,520000.0,220.0,25.0
Yvon Mvogo,Lorient,29.0,GK,SUI,2024,Ligue 1,1994.0,34.0,66.0,8.0,1.0,8.0,1.0,63.1,0.27,-1.9,-0.06,139.0,378.0,36.8,921.0,162.0,29.1,31.4,228.0,48.2,38.8,591.0,24.0,4.1,13.0,0.38,8.9,66.0,1.94,207.0,142.0,72.0,7.0,8.0,19.0,4.0,11.8,8.0,8.0,0.0,0.0,0.0,11916.0,619629.0,373.0,70.0
Thomas Kaminski,Luton Town,30.0,GK,BEL,2024,Premier League,1992.0,37.8,85.0,4.0,0.0,13.0,4.0,77.6,0.34,-3.4,-0.09,271.0,808.0,33.5,1121.0,150.0,52.0,39.5,341.0,66.0,47.5,558.0,16.0,2.9,76.0,2.01,20.5,85.0,2.25,221.0,140.0,63.3,6.0,8.0,24.0,2.0,5.3,4.0,4.0,0.0,0.0,0.0,25000.0,1300000.0,70.0,16.0
James Shea,Luton Town,32.0,GK,ENG,2024,Premier League,1991.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.1,0.75,3.0,6.0,50.0,6.0,1.0,83.3,50.8,3.0,33.3,37.3,3.0,0.0,0.0,1.0,6.0,19.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,7500.0,390000.0,0.0,1.0
Anthony Lopes,Lyon,32.0,GK,POR,2024,Ligue 1,1990.0,31.0,49.0,4.0,1.0,7.0,1.0,43.5,0.25,-4.5,-0.15,132.0,362.0,36.5,839.0,156.0,34.1,32.4,196.0,38.8,34.1,438.0,36.0,8.2,28.0,0.9,12.4,49.0,1.58,155.0,106.0,71.0,16.0,4.0,11.0,9.0,29.0,6.0,4.0,1.0,1.0,20.0,69510.0,3614505.0,46.0,11.0
Rémy Riou,Lyon,35.0,GK,FRA,2024,Ligue 1,1987.0,3.0,6.0,0.0,1.0,0.0,0.0,4.7,0.33,-1.3,-0.44,5.0,24.0,20.8,81.0,13.0,16.0,26.1,23.0,47.8,39.0,32.0,3.0,9.4,3.0,1.0,13.4,6.0,2.0,14.0,8.0,57.1,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,,6951.0,361451.0,,
Daniel Batz,Mainz 05,32.0,GK,GER,2024,Bundesliga,1991.0,4.0,3.0,0.0,1.0,0.0,0.0,2.4,0.15,-0.6,-0.15,18.0,58.0,31.0,132.0,14.0,38.6,34.7,21.0,33.3,34.8,38.0,4.0,10.5,2.0,0.5,11.3,3.0,0.75,17.0,14.0,82.4,0.0,2.0,2.0,1.0,25.0,0.0,0.0,0.0,0.0,,3641.0,189331.0,137.0,30.0
Robin Zentner,Mainz 05,28.0,GK,GER,2024,Bundesliga,1994.0,30.0,48.0,3.0,1.0,2.0,1.0,49.2,0.37,2.2,0.07,180.0,512.0,35.2,862.0,146.0,47.3,38.5,177.0,58.8,46.4,393.0,42.0,10.7,48.0,1.6,16.0,48.0,1.6,128.0,81.0,64.8,7.0,12.0,11.0,7.0,23.3,4.0,3.0,0.0,1.0,0.0,24825.0,1290895.0,363.0,43.0
Iván Cuéllar,Mallorca,39.0,GK,ESP,2024,La Liga,1984.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,0.19,0.2,0.17,1.0,11.0,9.1,32.0,8.0,31.3,33.0,3.0,33.3,35.7,6.0,1.0,16.7,0.0,0.0,7.0,1.0,1.0,6.0,5.0,83.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2979.0,154907.0,683.0,106.0
