"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2024,"Almería","La Liga","Sergio Akieme","ESP","DF","25",1997,18.6,801,630,169,19,1,5,57,148,2,0,1,0,620,2,22,"https://fbref.com/en/players/06efa9dc/Sergio-Akieme"
2024,"Almería","La Liga","Sergio Arribas","ESP","MF,FW","21",2001,22.7,751,661,86,32,4,4,60,7,28,13,9,0,588,4,20,"https://fbref.com/en/players/1e465e70/Sergio-Arribas"
2024,"Almería","La Liga","Iddrisu Baba","GHA","MF","27",1996,15.9,654,636,15,15,2,2,4,0,0,0,0,0,543,3,10,"https://fbref.com/en/players/bfd381b3/Iddrisu-Baba"
2024,"Almería","La Liga","Srđan Babić","SRB","DF","27",1996,1,62,60,2,2,0,1,0,0,0,0,0,0,58,0,0,"https://fbref.com/en/players/075fe5a3/Srdjan-Babic"
2024,"Almería","La Liga","Léo Baptistão","BRA","FW","30",1992,20.4,568,534,31,0,1,3,27,8,0,0,0,0,366,3,30,"https://fbref.com/en/players/35f6db55/Leo-Baptistao"
2024,"Almería","La Liga","Juan Brandáriz","ESP","DF","24",1999,27,1208,1139,64,21,0,4,2,25,0,0,0,0,1044,5,11,"https://fbref.com/en/players/2475cf9b/Juan-Brandariz"
2024,"Almería","La Liga","Álex Centelles","ESP","DF","25",1997,10.9,544,430,112,24,1,5,44,88,0,0,0,0,400,2,19,"https://fbref.com/en/players/ae852b7d/Alex-Centelles"
2024,"Almería","La Liga","Adri Embarba","ESP","FW,MF","31",1992,27.5,928,770,150,35,0,16,171,16,94,36,31,0,609,8,43,"https://fbref.com/en/players/db8f0eba/Adri-Embarba"
2024,"Almería","La Liga","Fernando","ESP","GK","33",1990,4,160,123,36,10,0,0,0,0,0,0,0,0,110,1,0,"https://fbref.com/en/players/dabb2827/Fernando"
2024,"Almería","La Liga","Rachad Fettal","MAR","FW","18",2005,0.2,6,5,0,0,0,0,0,0,0,0,0,0,4,1,0,"https://fbref.com/en/players/ae9a9b2d/Rachad-Fettal"
2024,"Almería","La Liga","Édgar González","ESP","DF,MF","26",1997,28,1350,1296,51,35,0,8,2,2,0,0,0,0,1150,3,6,"https://fbref.com/en/players/49d028db/Edgar-Gonzalez"
2024,"Almería","La Liga","Luis Javier Suárez","COL","FW","25",1997,10.2,202,184,17,1,2,1,7,0,0,0,0,0,150,1,7,"https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez"
2024,"Almería","La Liga","Kaiky","BRA","DF","19",2004,5.8,263,252,11,10,0,3,1,1,0,0,0,0,217,0,4,"https://fbref.com/en/players/55634fb8/Kaiky"
2024,"Almería","La Liga","Ibrahima Koné","MLI","FW","24",1999,3.1,56,49,7,0,0,0,2,2,0,0,0,0,38,0,0,"https://fbref.com/en/players/04bb2b06/Ibrahima-Kone"
2024,"Almería","La Liga","Bruno Langa","MOZ","DF","25",1997,9.1,400,320,80,13,0,3,16,67,0,0,0,0,307,0,13,"https://fbref.com/en/players/72947847/Bruno-Langa"
2024,"Almería","La Liga","Lázaro","BRA","FW,MF","21",2002,3.2,100,87,12,4,1,2,12,3,5,3,2,0,69,1,4,"https://fbref.com/en/players/86ff856b/Lazaro"
2024,"Almería","La Liga","Dion Lopy","SEN","MF","21",2002,21.3,882,855,25,18,2,15,7,7,0,0,0,0,745,2,11,"https://fbref.com/en/players/64c14d49/Dion-Lopy"
2024,"Almería","La Liga","Anthony Lozano","HON","FW","30",1993,8.6,136,120,15,0,0,0,4,0,0,0,0,0,98,1,4,"https://fbref.com/en/players/38699c72/Anthony-Lozano"
2024,"Almería","La Liga","Diego Mariño","ESP","GK","33",1990,1,27,25,2,0,0,0,0,0,0,0,0,0,23,0,0,"https://fbref.com/en/players/d9235a45/Diego-Marino"
2024,"Almería","La Liga","Luís Maximiano","POR","GK","24",1999,33,1266,862,397,133,0,1,0,0,0,0,0,0,833,7,0,"https://fbref.com/en/players/3318286e/Luis-Maximiano"
2024,"Almería","La Liga","Gonzalo Melero","ESP","MF,FW","29",1994,12.3,465,443,20,10,0,0,4,3,0,0,0,0,381,2,5,"https://fbref.com/en/players/3902e91b/Gonzalo-Melero"
