nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
ENG,DF,28,1992,27,23,2061,22.9,1,0,1,1,0,0,5,0,1.5,1.5,0.8,2.3,34,87,73,0.04,0.0,0.04,0.04,0.04,0.07,0.04,0.1,0.07,0.1
ENG,FW,29,1990,24,17,1545,17.2,6,1,7,6,0,1,0,0,6.6,5.8,2.8,8.7,21,25,98,0.35,0.06,0.41,0.35,0.41,0.39,0.16,0.55,0.34,0.5
NED,MF,28,1991,7,2,213,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,14,8,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
POL,"DF,MF",21,1999,12,7,647,7.2,0,0,0,0,0,0,0,0,0.8,0.8,0.2,0.9,21,30,50,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13
IRL,MF,20,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,DF,28,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24
NED,DF,28,1992,28,25,2281,25.3,1,1,2,1,0,0,3,0,1.1,1.1,1.7,2.8,39,136,99,0.04,0.04,0.08,0.04,0.08,0.04,0.07,0.11,0.04,0.11
BEL,"MF,FW",25,1994,35,30,2607,29.0,5,5,10,5,0,0,2,0,4.6,4.6,4.9,9.5,73,142,219,0.17,0.17,0.35,0.17,0.35,0.16,0.17,0.33,0.16,0.33
ENG,DF,28,1991,33,33,2931,32.6,5,0,5,5,0,0,5,2,2.2,2.2,1.2,3.4,27,82,7,0.15,0.0,0.15,0.15,0.15,0.07,0.04,0.1,0.07,0.1
AUS,GK,28,1992,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,"FW,MF",23,1996,33,29,2512,27.9,8,2,10,5,3,4,1,1,13.2,10.1,3.9,13.9,44,61,181,0.29,0.07,0.36,0.18,0.25,0.47,0.14,0.61,0.36,0.5
GER,"MF,DF",29,1991,34,27,2484,27.6,3,8,11,0,3,4,3,0,4.9,1.7,5.2,6.9,57,165,168,0.11,0.29,0.4,0.0,0.29,0.18,0.19,0.36,0.06,0.25
RSA,FW,26,1994,3,1,103,1.1,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,4,1,11,0.0,0.87,0.87,0.0,0.87,0.0,0.36,0.36,0.0,0.36
GER,MF,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,GK,22,1997,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
