nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
ARG,"MF,FW",29,1993,10,2,252,2.8,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.7,2,19,6,0.36,0.0,0.36,0.36,0.36,0.19,0.06,0.25,0.19,0.25
CIV,FW,25,1996,14,2,245,2.7,0,0,0,0,0,0,0,0,1.3,1.3,0.1,1.3,9,5,26,0.0,0.0,0.0,0.0,0.0,0.47,0.02,0.49,0.47,0.49
JAM,FW,32,1990,33,21,1829,20.3,5,3,8,5,0,0,2,0,6.6,6.6,1.3,7.8,49,27,120,0.25,0.15,0.39,0.25,0.39,0.32,0.06,0.38,0.32,0.38
MAR,DF,26,1996,18,17,1595,17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4,0.11,0.0,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15
ESP,"FW,MF",26,1996,32,17,1503,16.7,3,1,4,3,0,0,0,0,2.2,2.2,1.7,3.9,33,89,101,0.18,0.06,0.24,0.18,0.24,0.13,0.1,0.24,0.13,0.24
ALG,"FW,MF",26,1995,35,22,2069,23.0,6,3,9,2,4,4,0,0,7.0,3.9,4.5,8.4,109,82,237,0.26,0.13,0.39,0.09,0.22,0.31,0.2,0.5,0.17,0.36
GER,DF,25,1996,27,25,2230,24.8,0,2,2,0,0,0,4,0,0.5,0.5,0.6,1.1,15,60,29,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.04,0.02,0.04
CZE,MF,27,1995,36,32,2815,31.3,2,3,5,2,0,0,3,0,4.0,4.0,1.9,6.0,11,88,52,0.06,0.1,0.16,0.06,0.16,0.13,0.06,0.19,0.13,0.19
CZE,DF,29,1992,27,24,2136,23.7,0,1,1,0,0,0,5,0,0.3,0.3,2.5,2.7,53,82,109,0.0,0.04,0.04,0.0,0.04,0.01,0.1,0.11,0.01,0.11
POL,GK,37,1985,36,36,3111,34.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,"FW,MF",26,1996,34,12,1496,16.6,2,1,3,2,0,0,2,0,1.4,1.4,3.7,5.1,85,36,157,0.12,0.06,0.18,0.12,0.18,0.08,0.23,0.31,0.08,0.31
MLI,MF,20,2001,10,4,411,4.6,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.2,4,8,2,0.0,0.22,0.22,0.0,0.22,0.01,0.04,0.05,0.01,0.05
WAL,"FW,MF",19,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,10,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
IRL,MF,24,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG,DF,32,1990,17,17,1414,15.7,1,0,1,1,0,0,4,0,1.0,1.0,0.0,1.0,5,44,1,0.06,0.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06
ENG,GK,29,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POR,"FW,MF",26,1995,32,20,1771,19.7,6,0,6,6,0,0,5,0,3.9,3.9,2.5,6.4,43,95,148,0.3,0.0,0.3,0.3,0.3,0.2,0.13,0.33,0.2,0.33
JAM,DF,18,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,FW,33,1988,23,16,1241,13.8,1,0,1,1,0,0,5,1,3.2,3.2,0.7,3.9,19,13,60,0.07,0.0,0.07,0.07,0.07,0.23,0.05,0.28,0.23,0.28
POR,"FW,MF",25,1996,13,8,707,7.9,1,1,2,1,0,0,1,0,1.2,1.2,0.5,1.7,20,16,54,0.13,0.13,0.25,0.13,0.25,0.15,0.06,0.22,0.15,0.22
ESP,DF,19,2002,21,16,1310,14.6,0,1,1,0,0,0,1,0,0.2,0.2,1.3,1.5,52,39,64,0.0,0.07,0.07,0.0,0.07,0.01,0.09,0.1,0.01,0.1
KOR,"FW,MF",26,1996,27,12,1130,12.6,3,1,4,3,0,0,1,0,2.9,2.9,1.1,4.0,25,30,60,0.24,0.08,0.32,0.24,0.32,0.23,0.09,0.32,0.23,0.32
ESP,DF,28,1994,18,14,1261,14.0,1,0,1,1,0,0,3,1,0.3,0.3,1.0,1.3,24,70,46,0.07,0.0,0.07,0.07,0.07,0.02,0.07,0.1,0.02,0.1
IRL,MF,19,2002,6,1,175,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.3,1,8,5,0.0,0.0,0.0,0.0,0.0,0.13,0.03,0.16,0.13,0.16
POR,GK,29,1993,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,MF,21,2001,11,7,653,7.3,1,0,1,1,0,0,5,0,0.3,0.3,0.2,0.4,7,19,8,0.14,0.0,0.14,0.14,0.14,0.04,0.02,0.06,0.04,0.06
POR,MF,35,1986,31,20,1780,19.8,0,2,2,0,0,0,3,0,1.3,1.3,2.6,3.9,23,132,32,0.0,0.1,0.1,0.0,0.1,0.07,0.13,0.2,0.07,0.2
BEL,MF,27,1995,4,2,214,2.4,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,1,6,3,0.0,0.0,0.0,0.0,0.0,0.27,0.02,0.29,0.27,0.29
GAB,MF,28,1993,19,17,1299,14.4,0,1,1,0,0,0,4,1,0.3,0.3,0.3,0.6,6,42,9,0.0,0.07,0.07,0.0,0.07,0.02,0.02,0.04,0.02,0.04
BRA,FW,23,1999,17,12,965,10.7,2,0,2,2,0,0,1,0,2.0,2.0,0.6,2.6,16,14,43,0.19,0.0,0.19,0.19,0.19,0.19,0.05,0.24,0.19,0.24
POR,MF,23,1998,34,30,2467,27.4,1,1,2,1,0,0,2,1,2.4,2.4,2.2,4.7,59,84,129,0.04,0.04,0.07,0.04,0.07,0.09,0.08,0.17,0.09,0.17
ENG,DF,25,1997,37,37,3307,36.7,0,0,0,0,0,0,3,0,1.3,1.3,0.2,1.6,30,127,5,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04
ENG,"FW,MF",22,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,4,12,12,0.0,0.0,0.0,0.0,0.0,0.36,0.04,0.4,0.36,0.4
IRL,DF,21,2001,26,19,1814,20.2,0,0,0,0,0,0,2,1,0.2,0.2,0.1,0.3,11,64,5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02
POR,DF,28,1993,36,31,2632,29.2,0,1,1,0,0,0,11,1,0.4,0.4,0.7,1.2,50,110,147,0.0,0.03,0.03,0.0,0.03,0.01,0.03,0.04,0.01,0.04
ESP,"FW,MF",30,1992,13,9,765,8.5,1,0,1,1,0,0,3,0,3.1,3.1,0.8,3.9,17,41,54,0.12,0.0,0.12,0.12,0.12,0.36,0.09,0.46,0.36,0.46
POR,"FW,MF",22,2000,18,13,964,10.7,0,0,0,0,0,0,1,0,1.1,1.1,2.1,3.2,37,24,111,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.1,0.3
ALG,DF,21,2001,21,9,1076,12.0,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.08,0.0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14
MEX,FW,31,1991,15,8,846,9.4,0,1,1,0,0,0,0,0,2.6,2.6,1.7,4.3,5,14,45,0.0,0.11,0.11,0.0,0.11,0.27,0.18,0.46,0.27,0.46
POR,MF,25,1997,35,33,3019,33.5,6,1,7,3,3,3,12,0,5.2,2.8,1.6,4.4,28,218,18,0.18,0.03,0.21,0.09,0.12,0.15,0.05,0.2,0.08,0.13
AUT,FW,25,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.53,0.53
POR,DF,23,1999,17,10,984,10.9,1,0,1,1,0,0,6,0,0.4,0.4,0.3,0.7,4,27,23,0.09,0.0,0.09,0.09,0.09,0.04,0.02,0.06,0.04,0.06
MTN,MF,20,2000,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
ESP,"DF,MF",23,1997,5,1,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,6,6,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12
ESP,GK,23,1996,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,"MF,FW",19,2001,21,2,453,5.0,1,0,1,1,0,0,1,0,1.3,1.3,0.8,2.2,14,4,36,0.2,0.0,0.2,0.2,0.2,0.26,0.17,0.43,0.26,0.43
ESP,MF,26,1993,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,FW,29,1991,27,11,874,9.7,1,3,4,1,0,0,4,0,1.5,1.5,2.4,3.8,5,27,48,0.1,0.31,0.41,0.1,0.41,0.15,0.25,0.4,0.15,0.4
URU,"MF,FW",18,2001,12,5,542,6.0,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.6,21,8,32,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1
ESP,GK,28,1992,38,37,3349,37.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,DF,29,1991,34,34,3015,33.5,1,1,2,1,0,0,10,0,2.4,2.4,0.9,3.3,5,66,5,0.03,0.03,0.06,0.03,0.06,0.07,0.03,0.1,0.07,0.1
ESP,MF,23,1997,7,3,216,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2,7,15,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
ESP,"DF,MF",18,2002,9,1,248,2.8,0,0,0,0,0,0,1,1,0.1,0.1,0.1,0.2,6,7,8,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09
SWE,FW,28,1992,10,1,208,2.3,1,0,1,1,0,0,1,0,0.8,0.8,0.0,0.8,1,5,9,0.43,0.0,0.43,0.43,0.43,0.36,0.01,0.37,0.36,0.37
ESP,FW,30,1990,37,34,3026,33.6,11,3,14,9,2,4,1,0,12.8,9.6,3.8,13.4,25,99,137,0.33,0.09,0.42,0.27,0.36,0.38,0.11,0.49,0.28,0.4
ESP,MF,29,1991,23,18,1398,15.5,0,2,2,0,0,0,5,1,0.8,0.8,2.8,3.6,28,55,39,0.0,0.13,0.13,0.0,0.13,0.05,0.18,0.23,0.05,0.23
ESP,FW,31,1988,28,19,1759,19.5,4,4,8,1,3,4,1,0,6.7,3.5,4.6,8.1,44,72,136,0.2,0.2,0.41,0.05,0.26,0.34,0.23,0.58,0.18,0.41
ESP,"MF,FW",26,1993,35,25,2090,23.2,4,2,6,4,0,0,4,0,3.3,3.3,2.7,6.0,71,42,130,0.17,0.09,0.26,0.17,0.26,0.14,0.12,0.26,0.14,0.26
ESP,MF,34,1986,25,10,1124,12.5,0,0,0,0,0,0,9,1,0.6,0.6,0.5,1.1,4,28,27,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09
ESP,"DF,MF",24,1996,26,16,1558,17.3,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.9,11,39,36,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05
ESP,MF,27,1993,22,12,1186,13.2,2,0,2,2,0,0,1,0,0.9,0.9,1.1,1.9,17,36,33,0.15,0.0,0.15,0.15,0.15,0.07,0.08,0.15,0.07,0.15
ARG,MF,29,1991,32,29,2492,27.7,1,0,1,1,0,0,10,1,1.2,1.2,0.2,1.3,22,73,14,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05
BRA,DF,26,1993,8,6,468,5.2,1,0,1,1,0,0,1,0,0.6,0.6,0.3,0.9,1,3,0,0.19,0.0,0.19,0.19,0.19,0.11,0.05,0.16,0.11,0.16
ESP,DF,24,1995,31,29,2545,28.3,1,1,2,1,0,0,5,1,1.4,1.4,2.8,4.2,27,111,54,0.04,0.04,0.07,0.04,0.07,0.05,0.1,0.15,0.05,0.15
ESP,MF,21,1999,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,DF,18,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,DF,22,1997,12,8,850,9.4,0,0,0,0,0,0,5,1,0.4,0.4,0.2,0.5,0,18,0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
ESP,MF,32,1987,33,31,2575,28.6,1,1,2,1,0,0,12,0,0.7,0.7,1.0,1.7,11,94,9,0.03,0.03,0.07,0.03,0.07,0.03,0.04,0.06,0.03,0.06
POR,"MF,DF",19,2001,3,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,DF,30,1989,32,30,2631,29.2,0,1,1,0,0,0,5,1,1.3,1.3,0.6,1.9,10,50,3,0.0,0.03,0.03,0.0,0.03,0.04,0.02,0.06,0.04,0.06
ESP,DF,30,1990,31,28,2375,26.4,1,1,2,1,0,0,6,0,0.4,0.4,0.6,1.0,28,59,27,0.04,0.04,0.08,0.04,0.08,0.02,0.02,0.04,0.02,0.04
ESP,"MF,FW",30,1990,33,26,2090,23.2,5,1,6,5,0,0,12,1,5.5,5.5,1.6,7.0,47,23,115,0.22,0.04,0.26,0.22,0.26,0.24,0.07,0.3,0.24,0.3
ESP,DF,28,1992,28,25,2131,23.7,2,1,3,2,0,0,5,0,1.1,1.1,1.1,2.3,66,80,100,0.08,0.04,0.13,0.08,0.13,0.05,0.05,0.1,0.05,0.1
ESP,FW,22,1997,35,16,1589,17.7,4,2,6,4,0,0,1,0,4.3,4.3,2.3,6.6,25,24,107,0.23,0.11,0.34,0.23,0.34,0.24,0.13,0.37,0.24,0.37
ESP,MF,30,1990,27,21,1920,21.3,0,1,1,0,0,0,8,0,0.3,0.3,0.6,0.9,14,108,12,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.04,0.02,0.04
ESP,MF,30,1989,13,4,424,4.7,0,1,1,0,0,0,0,0,0.2,0.2,0.8,1.0,1,20,28,0.0,0.21,0.21,0.0,0.21,0.04,0.17,0.21,0.04,0.21
ESP,"MF,FW",27,1992,28,23,1943,21.6,5,3,8,5,0,0,1,0,4.5,4.5,3.4,7.9,72,164,133,0.23,0.14,0.37,0.23,0.37,0.21,0.16,0.37,0.21,0.37
GHA,FW,26,1994,38,27,2387,26.5,6,6,12,5,1,1,1,0,6.2,5.4,5.1,10.5,73,34,233,0.23,0.23,0.45,0.19,0.41,0.23,0.19,0.43,0.2,0.4
ESP,"FW,MF",23,1997,3,1,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,7,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
ESP,DF,27,1993,18,5,644,7.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,23,27,33,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
ESP,DF,29,1991,28,28,2519,28.0,1,0,1,1,0,0,9,1,1.1,1.1,0.5,1.7,31,125,7,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06
ESP,"FW,MF",22,1998,3,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,10,8,0.0,0.0,0.0,0.0,0.0,0.05,0.38,0.43,0.05,0.43
ESP,GK,23,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,"MF,FW",21,1998,30,16,1363,15.1,2,2,4,2,0,0,3,0,1.2,1.2,2.6,3.9,54,51,142,0.13,0.13,0.26,0.13,0.26,0.08,0.17,0.26,0.08,0.26
BIH,"FW,MF",26,1993,3,0,44,0.5,1,0,1,0,1,1,1,0,0.8,0.0,0.0,0.0,1,1,2,2.05,0.0,2.05,0.0,0.0,1.66,0.0,1.66,0.05,0.05
ESP,DF,32,1988,23,17,1689,18.8,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,28,52,48,0.0,0.05,0.05,0.0,0.05,0.0,0.04,0.05,0.0,0.05
ESP,MF,27,1993,30,20,1722,19.1,0,1,1,0,0,0,7,0,1.6,1.6,1.1,2.6,14,95,15,0.0,0.05,0.05,0.0,0.05,0.08,0.06,0.14,0.08,0.14
ESP,MF,18,2002,2,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,8,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
ESP,MF,21,1999,5,1,100,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,5,5,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12
ESP,"FW,MF",20,2000,24,11,1035,11.5,2,2,4,2,0,0,2,0,2.8,2.8,1.2,4.0,26,41,76,0.17,0.17,0.35,0.17,0.35,0.25,0.1,0.35,0.25,0.35
ESP,"FW,MF",34,1986,34,21,1743,19.4,5,1,6,3,2,3,8,2,6.1,3.7,1.3,5.0,17,73,74,0.26,0.05,0.31,0.15,0.21,0.31,0.06,0.38,0.19,0.26
ESP,MF,24,1995,26,15,1424,15.8,3,0,3,3,0,0,7,0,1.1,1.1,1.7,2.8,25,97,14,0.19,0.0,0.19,0.19,0.19,0.07,0.11,0.18,0.07,0.18
ESP,DF,23,1997,25,23,2109,23.4,1,1,2,1,0,0,6,0,1.8,1.8,0.3,2.1,10,65,1,0.04,0.04,0.09,0.04,0.09,0.08,0.01,0.09,0.08,0.09
ESP,GK,23,1997,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,MF,19,2000,28,19,1701,18.9,0,0,0,0,0,0,6,0,0.3,0.3,0.2,0.6,7,122,9,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
ESP,DF,25,1995,23,22,1948,21.6,1,0,1,1,0,0,6,0,0.6,0.6,0.5,1.1,19,65,2,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05
ESP,DF,30,1990,23,21,1682,18.7,1,3,4,1,0,0,3,0,0.9,0.9,2.0,2.9,55,98,105,0.05,0.16,0.21,0.05,0.21,0.05,0.11,0.15,0.05,0.15
ESP,"MF,FW",25,1995,35,27,2278,25.3,8,4,12,8,0,0,4,0,6.2,6.2,3.4,9.7,64,85,201,0.32,0.16,0.47,0.32,0.47,0.25,0.14,0.38,0.25,0.38
ESP,"DF,MF",31,1989,25,17,1520,16.9,1,2,3,1,0,0,2,0,1.8,1.8,2.0,3.8,54,49,107,0.06,0.12,0.18,0.06,0.18,0.11,0.12,0.22,0.11,0.22
ESP,FW,31,1988,7,2,208,2.3,2,0,2,1,1,1,1,0,1.4,0.6,0.5,1.1,3,6,21,0.87,0.0,0.87,0.43,0.43,0.6,0.21,0.82,0.26,0.48
BRA,DF,31,1989,31,23,2057,22.9,0,0,0,0,0,0,8,0,1.5,1.5,0.3,1.8,5,36,3,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08
CTA,MF,27,1993,25,4,611,6.8,0,0,0,0,0,0,4,0,0.2,0.2,0.4,0.6,14,37,4,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.09,0.02,0.09
MEX,MF,30,1990,16,8,682,7.6,0,1,1,0,0,0,2,0,0.3,0.3,0.7,1.0,4,48,7,0.0,0.13,0.13,0.0,0.13,0.04,0.09,0.13,0.04,0.13
SVN,GK,27,1993,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URU,DF,25,1995,21,20,1765,19.6,0,0,0,0,0,0,5,0,1.1,1.1,0.2,1.4,11,59,4,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07
POR,"FW,MF",20,1999,31,14,1572,17.5,7,5,12,6,1,2,6,0,5.5,3.9,4.3,8.1,49,73,94,0.4,0.29,0.69,0.34,0.63,0.31,0.24,0.56,0.22,0.47
ENG,DF,29,1990,28,28,2475,27.5,0,6,6,0,0,0,0,0,0.1,0.1,3.6,3.8,43,169,196,0.0,0.22,0.22,0.0,0.22,0.0,0.13,0.14,0.0,0.14
ESP,MF,28,1992,37,34,3021,33.6,1,2,3,1,0,0,9,0,2.0,2.0,3.1,5.1,39,250,42,0.03,0.06,0.09,0.03,0.09,0.06,0.09,0.15,0.06,0.15
URU,MF,24,1996,19,3,518,5.8,1,0,1,1,0,0,2,0,0.1,0.1,0.5,0.6,6,27,4,0.17,0.0,0.17,0.17,0.17,0.02,0.09,0.11,0.02,0.11
URU,FW,33,1987,32,30,2508,27.9,21,3,24,18,3,3,6,0,16.2,13.9,3.0,16.8,30,46,171,0.75,0.11,0.86,0.65,0.75,0.58,0.11,0.69,0.5,0.6
ESP,DF,19,2000,1,1,49,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,1,1,2,0.0,1.84,1.84,0.0,1.84,0.0,0.73,0.73,0.0,0.73
ESP,"MF,FW",25,1995,37,33,2956,32.8,12,11,23,12,0,0,6,0,3.4,3.4,5.6,9.0,90,140,215,0.37,0.33,0.7,0.37,0.7,0.1,0.17,0.28,0.1,0.28
ESP,DF,25,1995,31,30,2578,28.6,1,1,2,1,0,0,6,0,1.1,1.1,0.6,1.6,30,172,23,0.03,0.03,0.07,0.03,0.07,0.04,0.02,0.06,0.04,0.06
FRA,FW,24,1996,5,0,100,1.1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,4,1,12,0.0,0.0,0.0,0.0,0.0,0.92,0.02,0.94,0.92,0.94
BRA,"DF,FW",22,1998,23,11,1129,12.5,1,2,3,1,0,0,3,0,0.8,0.8,1.8,2.6,44,36,126,0.08,0.16,0.24,0.08,0.24,0.06,0.14,0.21,0.06,0.21
ESP,DF,20,2000,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11
ESP,"MF,DF",25,1994,33,22,2033,22.6,2,1,3,2,0,1,10,0,2.8,1.9,1.7,3.7,19,82,93,0.09,0.04,0.13,0.09,0.13,0.12,0.08,0.2,0.08,0.16
MNE,DF,29,1991,33,33,2953,32.8,1,0,1,1,0,0,14,0,0.8,0.8,0.1,0.9,30,103,2,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03
FRA,MF,24,1995,27,19,1366,15.2,1,3,4,1,0,0,4,0,1.6,1.6,2.0,3.6,37,78,102,0.07,0.2,0.26,0.07,0.26,0.1,0.13,0.24,0.1,0.24
GHA,MF,27,1993,3,2,200,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,26,3,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
ESP,"MF,FW",30,1989,10,3,298,3.3,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.7,7,17,33,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2
BEL,"DF,MF",26,1993,30,25,2179,24.2,6,10,16,6,0,0,6,0,5.2,5.2,6.0,11.2,146,86,212,0.25,0.41,0.66,0.25,0.66,0.21,0.25,0.46,0.21,0.46
ARG,"FW,MF",25,1995,38,29,2393,26.6,9,8,17,9,0,0,3,0,7.8,7.7,5.7,13.4,64,84,186,0.34,0.3,0.64,0.34,0.64,0.29,0.21,0.51,0.29,0.51
CRO,"FW,DF",28,1992,9,6,519,5.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,13,24,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,FW,17,2002,7,6,431,4.8,4,0,4,4,0,0,1,0,1.8,1.8,1.7,3.5,32,12,60,0.84,0.0,0.84,0.84,0.84,0.37,0.36,0.73,0.37,0.73
FRA,"FW,MF",29,1991,36,32,2604,28.9,13,7,20,12,1,2,4,0,12.1,10.5,5.6,16.1,41,104,224,0.45,0.24,0.69,0.41,0.66,0.42,0.19,0.61,0.36,0.56
ESP,MF,22,1998,2,0,48,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
FRA,DF,25,1995,33,29,2475,27.5,1,0,1,1,0,0,11,2,1.8,1.8,0.8,2.7,33,181,9,0.04,0.0,0.04,0.04,0.04,0.07,0.03,0.1,0.07,0.1
POR,"FW,MF",20,1999,28,3,706,7.8,3,2,5,3,0,0,1,0,2.6,2.6,0.4,3.0,22,28,92,0.38,0.25,0.64,0.38,0.64,0.33,0.05,0.39,0.33,0.39
NED,"MF,DF",23,1997,37,35,3154,35.0,3,4,7,3,0,0,5,0,4.8,4.8,5.8,10.6,95,238,129,0.09,0.11,0.2,0.09,0.2,0.14,0.17,0.3,0.14,0.3
ESP,DF,33,1987,18,18,1481,16.5,0,0,0,0,0,0,4,0,0.8,0.8,0.4,1.2,9,67,3,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08
GUI,MF,17,2003,14,4,542,6.0,1,2,3,1,0,0,1,0,0.8,0.8,0.9,1.7,16,25,20,0.17,0.33,0.5,0.17,0.5,0.13,0.15,0.29,0.13,0.29
ESP,"DF,FW",31,1989,35,34,3025,33.6,3,5,8,3,0,0,9,0,1.9,1.9,7.6,9.5,48,197,354,0.09,0.15,0.24,0.09,0.24,0.06,0.22,0.28,0.06,0.28
DOM,"DF,MF",23,1996,7,3,289,3.2,1,1,2,1,0,0,2,0,0.7,0.7,0.8,1.4,8,7,22,0.31,0.31,0.62,0.31,0.62,0.21,0.24,0.45,0.21,0.45
