"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2024,"Alavés","La Liga","Alex Sola","ESP","FW,MF","24",1999,14,630,12,110,218,316,48,630,75,43,57.3,27,36,327,2390,1300,40,24,12,31,17,372,103,"https://fbref.com/en/players/5fa714d5/Alex-Sola"
2024,"Alavés","La Liga","Mamadou Sylla","SEN","FW,MF","29",1994,0.2,13,1,3,6,4,0,13,1,0,0,1,100,6,25,10,0,0,0,1,1,8,1,"https://fbref.com/en/players/e5ec95f8/Mamadou-Sylla"
2024,"Alavés","La Liga","Nahuel Tenaglia","ARG","DF","27",1996,12.7,604,84,275,251,85,13,604,14,7,50,2,14.3,247,1662,1020,17,10,1,6,5,268,24,"https://fbref.com/en/players/66654daa/Nahuel-Tenaglia"
2024,"Alavés","La Liga","Carlos Vicente","ESP","FW","24",1999,12.4,499,7,63,172,268,41,499,39,15,38.5,23,59,221,1250,541,23,8,10,39,11,298,82,"https://fbref.com/en/players/90df343e/Carlos-Vicente"
2024,"Alavés","La Liga","Xeber","ESP","FW,MF","26",1997,3.4,137,3,25,33,80,17,137,7,3,42.9,4,57.1,66,316,133,6,2,3,7,3,83,30,"https://fbref.com/en/players/d2c8aacc/Xeber"
2024,"Almería","La Liga","Sergio Akieme","ESP","DF","25",1997,18.6,959,54,338,420,216,20,959,40,21,52.5,18,45,498,2520,1141,27,23,2,15,16,525,72,"https://fbref.com/en/players/06efa9dc/Sergio-Akieme"
2024,"Almería","La Liga","Sergio Arribas","ESP","MF,FW","21",2001,22.7,1010,13,118,498,411,78,1010,49,16,32.7,31,63.3,554,3041,1685,56,39,12,40,16,648,94,"https://fbref.com/en/players/1e465e70/Sergio-Arribas"
2024,"Almería","La Liga","Iddrisu Baba","GHA","MF","27",1996,15.9,822,47,254,521,58,4,822,19,14,73.7,3,15.8,460,2217,844,1,3,0,18,7,482,5,"https://fbref.com/en/players/bfd381b3/Iddrisu-Baba"
2024,"Almería","La Liga","Srđan Babić","SRB","DF","27",1996,1,69,5,29,38,2,1,69,0,0,NA,0,NA,44,285,199,1,1,0,0,0,49,0,"https://fbref.com/en/players/075fe5a3/Srdjan-Babic"
2024,"Almería","La Liga","Léo Baptistão","BRA","FW","30",1992,20.4,793,23,123,416,267,67,793,28,12,42.9,14,50,399,2131,1118,26,21,8,38,17,532,88,"https://fbref.com/en/players/35f6db55/Leo-Baptistao"
2024,"Almería","La Liga","Juan Brandáriz","ESP","DF","24",1999,27,1462,230,830,582,58,11,1462,6,5,83.3,1,16.7,830,3815,1960,11,10,0,14,4,944,4,"https://fbref.com/en/players/2475cf9b/Juan-Brandariz"
2024,"Almería","La Liga","Álex Centelles","ESP","DF","25",1997,10.9,635,39,208,284,149,8,635,9,4,44.4,5,55.6,291,1225,687,16,13,3,10,6,357,53,"https://fbref.com/en/players/ae852b7d/Alex-Centelles"
2024,"Almería","La Liga","Adri Embarba","ESP","FW,MF","31",1992,27.5,1316,18,195,514,633,65,1315,119,46,38.7,65,54.6,749,4984,2406,94,55,24,79,35,821,167,"https://fbref.com/en/players/db8f0eba/Adri-Embarba"
2024,"Almería","La Liga","Fernando","ESP","GK","33",1990,4,169,138,167,2,0,0,169,0,0,NA,0,NA,93,536,339,0,0,0,0,0,74,0,"https://fbref.com/en/players/dabb2827/Fernando"
2024,"Almería","La Liga","Rachad Fettal","MAR","FW","18",2005,0.2,9,0,1,6,2,1,9,0,0,NA,0,NA,4,3,2,0,0,0,1,0,6,2,"https://fbref.com/en/players/ae9a9b2d/Rachad-Fettal"
2024,"Almería","La Liga","Édgar González","ESP","DF,MF","26",1997,28,1671,258,905,706,67,25,1671,11,7,63.6,3,27.3,829,3736,1951,6,7,0,14,5,1034,6,"https://fbref.com/en/players/49d028db/Edgar-Gonzalez"
