"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2024,"Montpellier","Ligue 1","Dimitry Bertaud","COD","GK","25",1998,4,11,0,0,1,0,10.9,0.32,-0.1,-0.02,18,61,29.5,118,26,42.4,38,23,47.8,42.5,56,3,5.4,0,0,9.6,"https://fbref.com/en/players/380a15e2/Dimitry-Bertaud"
2024,"Montpellier","Ligue 1","Benjamin Lecomte","FRA","GK","32",1991,30,37,4,2,3,3,36.8,0.24,2.8,0.09,150,436,34.4,781,137,44.2,36.6,221,41.2,36.4,471,29,6.2,13,0.43,9.5,"https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte"
2024,"Monza","Serie A","Michele Di Gregorio","ITA","GK","26",1997,31.9,35,3,1,5,0,45.4,0.26,10.4,0.33,179,430,41.6,1126,201,27.8,30.6,223,52.5,44.2,469,19,4.1,18,0.56,11.5,"https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio"
2024,"Monza","Serie A","Alessandro Sorrentino","ITA","GK","21",2002,6.1,16,4,0,1,0,14.4,0.34,-1.6,-0.27,18,56,32.1,151,29,26.5,30.6,42,38.1,36.1,62,3,4.8,3,0.49,16.8,"https://fbref.com/en/players/8ef2452a/Alessandro-Sorrentino"
2024,"Nantes","Ligue 1","Rémy Descamps","FRA","GK","27",1996,6,11,1,0,0,0,12.5,0.35,1.5,0.26,51,125,40.8,141,28,51.1,40.3,71,74.6,49.8,116,8,6.9,0,0,7.8,"https://fbref.com/en/players/477e50ce/Remy-Descamps"
2024,"Nantes","Ligue 1","Alban Lafont","FRA","GK","24",1999,27.7,43,8,0,2,0,42.4,0.31,-0.6,-0.02,123,388,31.7,839,145,34.2,34,166,60.8,46.9,385,33,8.6,33,1.19,13,"https://fbref.com/en/players/4e7db402/Alban-Lafont"
2024,"Nantes","Ligue 1","Denis Petrić","SRB","GK","35",1988,0.3,1,0,0,1,0,0.3,0.28,-0.7,-2.71,1,2,50,7,2,28.6,30.7,0,NA,NA,4,0,0,0,0,NA,"https://fbref.com/en/players/dab1b8dc/Denis-Petric"
2024,"Napoli","Serie A","Nikita Contini Baranovsky","ITA","GK","27",1996,0.2,0,0,0,0,0,0,NA,0,0,0,0,NA,3,1,0,17,1,0,15,1,0,0,3,15.88,37,"https://fbref.com/en/players/e95069bb/Nikita-Contini-Baranovsky"
2024,"Napoli","Serie A","Pierluigi Gollini","ITA","GK","28",1995,7,8,0,0,1,0,8.2,0.34,0.2,0.02,27,68,39.7,213,28,22.1,29.5,53,39.6,36.3,82,5,6.1,9,1.29,16.2,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
2024,"Napoli","Serie A","Alex Meret","ITA","GK","26",1997,30.8,40,2,1,5,0,38,0.33,-2,-0.07,56,174,32.2,774,120,18.5,27.9,137,22.6,29.5,334,9,2.7,29,0.94,15.4,"https://fbref.com/en/players/9413b19f/Alex-Meret"
2024,"Newcastle Utd","Premier League","Martin Dúbravka","SVK","GK","34",1989,22.1,42,4,0,5,0,42.5,0.29,0.5,0.02,56,165,33.9,480,143,15.6,25.4,169,53.3,39.1,296,20,6.8,22,1,12.9,"https://fbref.com/en/players/3a949a25/Martin-Dubravka"
2024,"Newcastle Utd","Premier League","Loris Karius","GER","GK","30",1993,1,4,0,0,1,1,2,0.29,-1,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10,3,3,19.5,"https://fbref.com/en/players/32e7ce92/Loris-Karius"
2024,"Newcastle Utd","Premier League","Nick Pope","ENG","GK","31",1992,14.9,16,0,1,2,0,16.8,0.3,0.8,0.05,41,118,34.7,304,88,21.1,28.6,95,56.8,43.8,143,9,6.3,28,1.87,19,"https://fbref.com/en/players/4b40d9ca/Nick-Pope"
2024,"Nice","Ligue 1","Marcin Bułka","POL","GK","23",1999,34,29,5,0,1,1,30.7,0.22,2.7,0.08,74,189,39.2,1086,158,14.4,23.9,147,22.4,25.5,376,32,8.5,21,0.62,12.2,"https://fbref.com/en/players/db87a2c4/Marcin-Bulka"
2024,"Nott'ham Forest","Premier League","Matz Sels","BEL","GK","31",1992,16,27,1,0,9,2,17.2,0.27,-7.8,-0.49,75,179,41.9,283,51,45.9,36.6,93,52.7,41.4,223,11,4.9,4,0.25,9.4,"https://fbref.com/en/players/834b5c4c/Matz-Sels"
2024,"Nott'ham Forest","Premier League","Matt Turner","USA","GK","29",1994,17,28,2,1,4,0,22.1,0.26,-5.9,-0.35,126,280,45,436,99,42.7,35.7,136,69.1,47,296,30,10.1,18,1.06,13.3,"https://fbref.com/en/players/4a51ba65/Matt-Turner"
2024,"Nott'ham Forest","Premier League","Odisseas Vlachodimos","GRE","GK","29",1994,5,12,1,0,2,0,7.9,0.31,-4.1,-0.83,28,60,46.7,130,21,25.4,29.6,44,61.4,44.3,92,3,3.3,2,0.4,10.3,"https://fbref.com/en/players/03df04ff/Odisseas-Vlachodimos"
2024,"Osasuna","La Liga","Aitor Fernández","ESP","GK","32",1991,6.1,9,1,0,2,0,6.1,0.26,-2.9,-0.47,47,113,41.6,174,19,56.3,42.5,22,68.2,49.7,69,1,1.4,15,2.45,24.8,"https://fbref.com/en/players/a01c3d54/Aitor-Fernandez"
2024,"Osasuna","La Liga","Sergio Herrera","ESP","GK","30",1993,31.9,47,0,0,6,0,45.6,0.34,-1.4,-0.04,282,658,42.9,961,100,52,40.4,222,71.2,51.2,468,29,6.2,43,1.35,16.4,"https://fbref.com/en/players/a4995f48/Sergio-Herrera"
2024,"Paris S-G","Ligue 1","Gianluigi Donnarumma","ITA","GK","24",1999,24.1,20,3,0,2,0,30.3,0.25,10.3,0.43,36,94,38.3,641,113,11.4,24.2,131,16,23,294,15,5.1,23,0.95,13.2,"https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma"
2024,"Paris S-G","Ligue 1","Keylor Navas","CRC","GK","36",1986,4,6,1,0,0,0,4.7,0.31,-1.3,-0.33,4,9,44.4,80,12,10,23.5,18,5.6,22.2,37,0,0,5,1.25,16.3,"https://fbref.com/en/players/ecada4fc/Keylor-Navas"
2024,"Paris S-G","Ligue 1","Arnau Tenas","ESP","GK","22",2001,5.9,7,0,0,2,0,6,0.24,-1,-0.17,14,46,30.4,174,19,23,29.6,37,16.2,27.1,71,2,2.8,5,0.85,14.8,"https://fbref.com/en/players/30670b0e/Arnau-Tenas"
2024,"RB Leipzig","Bundesliga","Janis Blaswich","GER","GK","32",1991,21,30,4,0,7,0,25.3,0.28,-4.7,-0.22,57,155,36.8,822,89,14.7,25.7,134,25.4,30.7,251,16,6.4,37,1.76,17.6,"https://fbref.com/en/players/663e080e/Janis-Blaswich"
2024,"RB Leipzig","Bundesliga","Péter Gulácsi","HUN","GK","33",1990,13,9,0,1,1,1,10.3,0.25,2.3,0.17,22,79,27.8,373,58,12.9,25.1,97,32,32.2,175,7,4,14,1.08,14.5,"https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi"
2024,"Rayo Vallecano","La Liga","Cárdenas","ESP","GK","26",1997,1,1,0,0,0,0,0.9,0.93,-0.1,-0.07,2,15,13.3,36,5,36.1,36.3,4,50,53.5,5,0,0,2,2,17,"https://fbref.com/en/players/e1846dde/Cardenas"
2024,"Rayo Vallecano","La Liga","Stole Dimitrievski","MKD","GK","29",1993,37,47,1,1,5,2,46.9,0.31,1.9,0.05,168,598,28.1,928,171,47.1,39.4,267,60.3,48.4,529,23,4.3,38,1.03,14.6,"https://fbref.com/en/players/fc70e345/Stole-Dimitrievski"
