"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2024,"Bologna","Serie A","Nicola Bagnolini","ITA","GK","19",2004,1,0,5,0.1,0,0,1,1,100,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/ad263695/Nicola-Bagnolini"
2024,"Bologna","Serie A","Federico Ravaglia","ITA","GK","23",1999,6,6,535,5.9,3,0.5,18,13,83.3,4,1,1,4,66.7,1,0,1,0,100,"https://fbref.com/en/players/6662d731/Federico-Ravaglia"
2024,"Bologna","Serie A","Łukasz Skorupski","POL","GK","32",1991,32,32,2880,32,29,0.91,106,77,75.5,14,13,5,13,40.6,6,3,1,2,25,"https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski"
2024,"Bournemouth","Premier League","Neto","BRA","GK","34",1989,32,32,2880,32,55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7,"https://fbref.com/en/players/a9dc785c/Neto"
2024,"Bournemouth","Premier League","Ionuț Radu","ROU","GK","26",1997,2,2,180,2,7,3.5,11,4,36.4,1,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/67f649be/Ionut-Radu"
2024,"Bournemouth","Premier League","Mark Travers","IRL","GK","24",1999,4,4,360,4,5,1.25,18,13,77.8,2,0,2,2,50,1,1,0,0,0,"https://fbref.com/en/players/fe558029/Mark-Travers"
2024,"Brentford","Premier League","Mark Flekken","NED","GK","30",1993,37,37,3285,36.5,63,1.73,176,113,65.3,10,9,18,7,18.9,2,2,0,0,0,"https://fbref.com/en/players/a92ab7be/Mark-Flekken"
2024,"Brentford","Premier League","Thomas Strakosha","ALB","GK","28",1995,2,1,135,1.5,2,1.33,8,6,75,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/339fe0e8/Thomas-Strakosha"
2024,"Brest","Ligue 1","Marco Bizot","NED","GK","32",1991,32,32,2876,32,34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3,"https://fbref.com/en/players/3d214e5f/Marco-Bizot"
2024,"Brest","Ligue 1","Grégoire Coudert","FRA","GK","24",1999,3,2,181,2,0,0,4,4,100,2,0,0,2,100,0,0,0,0,NA,"https://fbref.com/en/players/ca95200f/Gregoire-Coudert"
2024,"Brighton","Premier League","Jason Steele","ENG","GK","32",1990,17,17,1530,17,34,2,74,42,58.1,5,4,8,2,11.8,3,3,0,0,0,"https://fbref.com/en/players/28300a16/Jason-Steele"
2024,"Brighton","Premier League","Bart Verbruggen","NED","GK","20",2002,21,21,1890,21,28,1.33,91,63,72.5,7,8,6,4,19,3,3,0,0,0,"https://fbref.com/en/players/cf134113/Bart-Verbruggen"
2024,"Burnley","Premier League","Arijanet Muric","KVX","GK","24",1998,10,10,900,10,16,1.6,78,62,80.8,2,4,4,0,0,2,1,1,0,50,"https://fbref.com/en/players/99aa1a84/Arijanet-Muric"
2024,"Burnley","Premier League","James Trafford","ENG","GK","20",2002,28,28,2520,28,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0,"https://fbref.com/en/players/259fea27/James-Trafford"
2024,"Cagliari","Serie A","Simone Aresti","ITA","GK","37",1986,1,0,1,0,1,90,1,0,100,0,0,0,0,NA,1,1,0,0,0,"https://fbref.com/en/players/a9eaccda/Simone-Aresti"
2024,"Cagliari","Serie A","Boris Radunović","SRB","GK","27",1996,7,7,630,7,12,1.71,27,16,55.6,0,2,5,2,28.6,1,0,0,1,NA,"https://fbref.com/en/players/0dfce079/Boris-Radunovic"
2024,"Cagliari","Serie A","Simone Scuffet","ITA","GK","27",1996,31,31,2789,31,55,1.77,129,76,59.7,8,10,13,3,9.7,3,3,0,0,0,"https://fbref.com/en/players/41bd99ea/Simone-Scuffet"
2024,"Celta Vigo","La Liga","Vicente Guaita","ESP","GK","36",1987,27,26,2403,26.7,39,1.46,120,83,70.8,8,7,11,6,23.1,5,4,0,1,0,"https://fbref.com/en/players/ab13a5aa/Vicente-Guaita"
2024,"Celta Vigo","La Liga","Iván Villar","ESP","GK","26",1997,12,12,1014,11.3,18,1.6,44,26,63.6,2,4,6,0,0,3,2,1,0,33.3,"https://fbref.com/en/players/cde52ef5/Ivan-Villar"
2024,"Chelsea","Premier League","Đorđe Petrović","SRB","GK","23",1999,23,22,1987,22.1,38,1.72,108,73,65.7,13,5,4,5,22.7,2,1,0,1,0,"https://fbref.com/en/players/0cf321c8/Djordje-Petrovic"
2024,"Chelsea","Premier League","Robert Sánchez","ESP","GK","25",1997,16,16,1433,15.9,25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3,"https://fbref.com/en/players/6a713852/Robert-Sanchez"
